frames=17648
samplerate=44100, outrate=32768
channels=2
num_items=35296
Read 35296 items
idx = 0	 inval = -16711680	 outidx = 0	 outval = 0
idx = 2	 inval = -891092992	 outidx = 1	 outval = -26
idx = 5	 inval = -1365704704	 outidx = 2	 outval = -40
idx = 8	 inval = -1841954816	 outidx = 3	 outval = -54
idx = 10	 inval = -1952841728	 outidx = 4	 outval = -58
idx = 13	 inval = -2020868096	 outidx = 5	 outval = -60
idx = 16	 inval = -2087780352	 outidx = 6	 outval = -62
idx = 18	 inval = -2103181312	 outidx = 7	 outval = -62
idx = 21	 inval = -2112749568	 outidx = 8	 outval = -62
idx = 24	 inval = -2121728000	 outidx = 9	 outval = -63
idx = 29	 inval = -2124873728	 outidx = 11	 outval = -63
idx = 32	 inval = -2125791232	 outidx = 12	 outval = -63
idx = 34	 inval = -2125856768	 outidx = 13	 outval = -63
idx = 37	 inval = -2125791232	 outidx = 14	 outval = -63
idx = 40	 inval = -2125529088	 outidx = 15	 outval = -63
idx = 43	 inval = -2125266944	 outidx = 16	 outval = -63
idx = 45	 inval = -2125004800	 outidx = 17	 outval = -63
idx = 48	 inval = -2124546048	 outidx = 18	 outval = -63
idx = 51	 inval = -2124218368	 outidx = 19	 outval = -63
idx = 53	 inval = -2124021760	 outidx = 20	 outval = -63
idx = 59	 inval = -2123235328	 outidx = 22	 outval = -63
idx = 61	 inval = -2123038720	 outidx = 23	 outval = -63
idx = 64	 inval = -2122514432	 outidx = 24	 outval = -63
idx = 67	 inval = -380502016	 outidx = 25	 outval = -11
idx = 69	 inval = -1175912448	 outidx = 26	 outval = -35
idx = 72	 inval = -1761017856	 outidx = 27	 outval = -52
idx = 75	 inval = -1900085248	 outidx = 28	 outval = -56
idx = 78	 inval = -2037710848	 outidx = 29	 outval = -60
idx = 80	 inval = -2069626880	 outidx = 30	 outval = -61
idx = 83	 inval = -2089091072	 outidx = 31	 outval = -62
idx = 88	 inval = -2112618496	 outidx = 33	 outval = -62
idx = 91	 inval = -2114977792	 outidx = 34	 outval = -63
idx = 94	 inval = -2117402624	 outidx = 35	 outval = -63
idx = 96	 inval = -2117861376	 outidx = 36	 outval = -63
idx = 99	 inval = -2117992448	 outidx = 37	 outval = -63
idx = 102	 inval = -2117992448	 outidx = 38	 outval = -63
idx = 104	 inval = -2117795840	 outidx = 39	 outval = -63
idx = 107	 inval = -2117664768	 outidx = 40	 outval = -63
idx = 110	 inval = -2117140480	 outidx = 41	 outval = -63
idx = 113	 inval = -2116943872	 outidx = 42	 outval = -63
idx = 118	 inval = -2116157440	 outidx = 44	 outval = -63
idx = 121	 inval = -2115895296	 outidx = 45	 outval = -63
idx = 123	 inval = -2115633152	 outidx = 46	 outval = -63
idx = 126	 inval = -2115174400	 outidx = 47	 outval = -63
idx = 129	 inval = -2114912256	 outidx = 48	 outval = -63
idx = 131	 inval = -2114650112	 outidx = 49	 outval = -63
idx = 134	 inval = -2114191360	 outidx = 50	 outval = -63
idx = 137	 inval = -379060224	 outidx = 51	 outval = -11
idx = 139	 inval = -1154744320	 outidx = 52	 outval = -34
idx = 142	 inval = -1742471168	 outidx = 53	 outval = -51
idx = 148	 inval = -2024669184	 outidx = 55	 outval = -60
idx = 150	 inval = -2057895936	 outidx = 56	 outval = -61
idx = 153	 inval = -2078539776	 outidx = 57	 outval = -61
idx = 156	 inval = -2098724864	 outidx = 58	 outval = -62
idx = 158	 inval = -2103443456	 outidx = 59	 outval = -62
idx = 161	 inval = -2106195968	 outidx = 60	 outval = -62
